Keyword,Score
아나폴리스함의,2541.722222222222
입항과,2541.722222222222
대잠전,2541.722222222222
연합훈련,2541.722222222222
전북,2541.722222222222
지진,2541.722222222222
한미일,2541.722222222222
정상회의,2541.722222222222
우크라이나,2541.722222222222
사태,2541.722222222222
한국전쟁,2541.722222222222
기념탑,2541.722222222222
방문,2541.722222222222
소방청장과,2541.722222222222
행정안전부,2541.722222222222
장관이,2541.722222222222
소방서를,2541.722222222222
찾아,2541.722222222222
기념촬영을,2541.722222222222
하고,2541.722222222222
있는,2541.722222222222
사건입니다,2541.722222222222
서울,2541.722222222222
강서구청장,2541.722222222222
보궐선거와,2541.722222222222
국회의원,2541.722222222222
선거에,2541.722222222222
적용될,2541.722222222222
선거법들의,2541.722222222222
혼란,2541.722222222222
